1692652995541|5|statement|connection 2|url jdbc:h2:tcp://localhost/~/food-app-db|select * from INFORMATION_SCHEMA.SEQUENCES|select * from INFORMATION_SCHEMA.SEQUENCES
1692652995554|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/food-app-db|select * from "FOOD-APP-DB"."PUBLIC"."FOOD" where 1=0|select * from "FOOD-APP-DB"."PUBLIC"."FOOD" where 1=0
1692652995555|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/food-app-db|select * from "FOOD-APP-DB"."PUBLIC"."MEMBER" where 1=0|select * from "FOOD-APP-DB"."PUBLIC"."MEMBER" where 1=0
1692653108616|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db|select member0_.id as id1_2_0_, member0_.created_date as created_2_2_0_, member0_.last_modified_date as last_mod3_2_0_, member0_.email as email4_2_0_, member0_.nickname as nickname5_2_0_ from member member0_ where member0_.id=?|select member0_.id as id1_2_0_, member0_.created_date as created_2_2_0_, member0_.last_modified_date as last_mod3_2_0_, member0_.email as email4_2_0_, member0_.nickname as nickname5_2_0_ from member member0_ where member0_.id=1
1692653108629|1|commit|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db||
1692653108632|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db|select food0_.id as id1_1_0_, food0_.carbs as carbs2_1_0_, food0_.code as code3_1_0_, food0_.col as col4_1_0_, food0_.fat as fat5_1_0_, food0_.kcal as kcal6_1_0_, food0_.name as name7_1_0_, food0_.nat as nat8_1_0_, food0_.protein as protein9_1_0_, food0_.saturated_fat as saturat10_1_0_, food0_.serving_size as serving11_1_0_, food0_.sugar as sugar12_1_0_, food0_.trans_fat as trans_f13_1_0_, food0_.type as type14_1_0_, food0_.unit as unit15_1_0_ from food food0_ where food0_.id=?|select food0_.id as id1_1_0_, food0_.carbs as carbs2_1_0_, food0_.code as code3_1_0_, food0_.col as col4_1_0_, food0_.fat as fat5_1_0_, food0_.kcal as kcal6_1_0_, food0_.name as name7_1_0_, food0_.nat as nat8_1_0_, food0_.protein as protein9_1_0_, food0_.saturated_fat as saturat10_1_0_, food0_.serving_size as serving11_1_0_, food0_.sugar as sugar12_1_0_, food0_.trans_fat as trans_f13_1_0_, food0_.type as type14_1_0_, food0_.unit as unit15_1_0_ from food food0_ where food0_.id=1
1692653108633|0|commit|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db||
1692653108638|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db|call next value for hibernate_sequence|call next value for hibernate_sequence
1692653108647|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db|insert into diet (count, diet_date, food_id, meal_time, member_id, total_carb, total_fat, total_kcal, total_pro, id) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into diet (count, diet_date, food_id, meal_time, member_id, total_carb, total_fat, total_kcal, total_pro, id) values (3, '2023-08-23T00:00:00.000+0900', 1, 'DINNER', 1, 69, 36, 720, 30, 18)
1692653108648|0|commit|connection 3|url jdbc:h2:tcp://localhost/~/food-app-db||
1692653138994|0|statement|connection 4|url jdbc:h2:tcp://localhost/~/food-app-db|select member0_.id as id1_2_0_, member0_.created_date as created_2_2_0_, member0_.last_modified_date as last_mod3_2_0_, member0_.email as email4_2_0_, member0_.nickname as nickname5_2_0_ from member member0_ where member0_.id=?|select member0_.id as id1_2_0_, member0_.created_date as created_2_2_0_, member0_.last_modified_date as last_mod3_2_0_, member0_.email as email4_2_0_, member0_.nickname as nickname5_2_0_ from member member0_ where member0_.id=1
